N,P,K,temperature,humidity,ph,rainfall,label
83,95,50,26.51682337,77.79913575,5.50947065,108.8547508,banana
93,43,38,23.61475336,86.14290267,6.987332927000001,150.2355238,jute
67,46,44,26.82489244,78.20392774,7.093328631,153.91998069999997,jute
32,79,15,23.90910104,20.74619325,5.706198621,81.60211243,kidneybeans
28,70,21,25.39038396,60.4989659,7.437373666,39.18374505,lentil
55,60,15,32.79766751,68.77994074,7.163043872,64.11411069,blackgram
11,10,45,22.63045168,88.45577158,6.397995609,109.0357597,pomegranate
38,62,25,32.7477393,67.77954584,7.453975408,63.37784443,blackgram
38,21,35,20.33691147,89.38003827,5.841367187,110.9653137,pomegranate
28,80,17,19.62207826,18.67170854,5.809419584,144.1567454,kidneybeans
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,chickpea
7,73,25,27.52185591,63.13215259,7.28805662,45.20841071,lentil
37,78,79,19.95264829,14.82633099,7.786366322,88.6810311,chickpea
8,60,18,31.21629982,46.01868196,3.808429173,53.1205277,mothbeans
21,9,40,24.51147697,90.64498715,5.956401828,105.6209954,pomegranate
52,65,20,32.81705216,66.15665137,6.814301033,68.83924882,blackgram
14,75,24,24.54757829,57.3414485,6.436160044,118.3606557,pigeonpeas
38,51,52,32.66160599,90.78931681,6.927803911,78.85085502,papaya
35,66,47,31.7018373,91.66232213,6.953439161,48.83810592,papaya
30,44,16,29.73013036,82.89166381,6.442335592999999,50.91511275,mungbean
101,70,48,25.36059237,75.03193255,6.012696655,116.5531455,banana
24,70,16,25.17885316,68.93307305,6.54803469,35.03484812,lentil
99,15,27,27.0424167,57.27927475,6.501157208,165.6872119,coffee
29,25,14,30.49183837,90.4582865,7.781988584,113.3302105,orange
42,67,77,18.99424448,15.9362937,7.114405288,78.69707199,chickpea
95,27,55,28.47212559,91.21322065,6.160414414,20.88620369,muskmelon
101,11,51,25.50736962,84.24340241,6.792035575,44.2068997,watermelon
15,45,23,24.20422636,61.43378674,7.224193642,46.0203959,mothbeans
36,43,24,27.09400578,43.65305437,3.510404312,41.53749535,mothbeans
16,71,24,18.33124824,38.40975482,4.946369874,139.64833169999997,pigeonpeas
32,13,42,23.50128217,92.97527546,5.786058032000001,106.61905,pomegranate
43,50,48,28.28222883,91.37059792,6.63016515,179.27208069999998,papaya
132,52,19,24.16402322,76.7433897,6.436691764,61.94626051,cotton
99,6,46,28.61475136,94.22253035,6.39637861,28.98574189,muskmelon
116,25,50,29.26092798,92.92367701,6.088885814,28.70627683,muskmelon
24,73,20,19.63736208,32.31528909,4.608695247,176.4134092,pigeonpeas
108,60,17,22.75805656,76.75768356,6.558902588,97.76600619,cotton
117,24,53,29.17220859,92.21405224,6.293486295,21.30290472,muskmelon
39,24,31,33.55695561,53.72979826,4.757114897,98.67527561,mango
6,77,20,25.78746268,60.2816298,6.058306161,49.14337177,lentil
108,89,53,29.12036889,80.18080728,5.908770059,112.3982055,banana
32,57,22,28.6899851,87.50436797,6.769415887999999,44.56598352,mungbean
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,chickpea
12,29,40,19.68291173,89.75272999,6.594037135,111.2818551,pomegranate
